Title,Artist,Scoring,Instruments,Key,URL,Rating
Danny Boy [excerpt],Traditional Irish,Piano/Vocal,"Piano, Voice: B3-F#5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237787,
O Little Town of Bethlehem,Lewis H. Redner,Piano/Vocal/Chords,"Piano, Voice: C4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059861,4.5
The Entertainer [excerpt],Scott Joplin,Piano Solo,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237782,
The Twelve Days of Christmas,Traditional English,Easy Piano,"Piano, Voice",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0097657,
Hark! The Herald Angels Sing,Felix Mendelssohn,Piano/Vocal/Chords,"Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059859,3.5
Für Elise,Ludwig Van Beethoven,Piano Solo,Piano,A Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0058248,4.5
Prelude in Db Major (Raindrop Prelude),Frederic Francois Chopin,Piano Solo,Piano,Db Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0036841,5
What Child Is This?,Traditional,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: B3-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0051214,5
The First Noel,Traditional English Carol,Piano/Vocal/Chords,"Piano, Voice: D4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059855,
Gesu Bambino,Pietro A. Yon,Piano/Vocal/Chords,"Piano, Voice: A3-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060875,4.5
What Child Is This?,Traditional English Melody,Piano/Vocal/Chords,"Piano, Voice: B3-D5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059987,
The Twelve Days of Christmas,Traditional English Carol,Piano/Vocal/Chords,"Piano, Voice: A3-B4",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060263,3.5
Down to the River to Pray [excerpt],Alison Krauss,Piano/Vocal/Chords,"Piano, Voice: A3-C5, 4-Part Choir",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237815,
Away in a Manger,William J. Kirkpatrick,Piano/Vocal/Chords,"Piano, Voice: C4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060977,4
We Three Kings,John Henry Hopkins,Piano/Vocal/Chords,"Piano, Voice: D4-D5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060262,4.5
Wexford Carol,Traditional Irish Carol,Piano/Vocal/Chords,"Piano, Voice: Bb3-Db5",Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060879,
O Christmas Tree,Traditional,Piano/Vocal/Chords,"Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060261,
"O Chanukah, O Chanukah",Traditional Jewish,Piano/Vocal/Chords,"Piano, Voice: C4-C5",C Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0068677,
Gymnopédie  No. 1,Erik Satie,Piano Solo,Piano,D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0082159,5
Jupiter from The Planets [excerpt],Gustav Holst,Easy Piano,Piano,G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237802,
Ave Maria,Johann Sebastian Bach,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: C4-A5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0080397,4
Canon in D,Johann Pachelbel,Piano Solo,Piano,D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0058002,4
Go Tell It on the Mountain,African-American Spiritual,Piano/Vocal/Chords,"Piano, Voice: C4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059986,4.5
Carol of the Bells,Traditional Ukrainian,Piano Solo,Piano,F Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060247,4.5
Jingle Bells,James Pierpont,Beginner Notes,"Piano, Voice, Treble Clef Instrument",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0127351,5
"Still, Still, Still",German Traditional,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: C#4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050898,4.5
Ave Maria,Franz Schubert,Easy Piano,"Piano: E4-G5, Voice: E4-G5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0098361,4.5
"O Come, All Ye Faithful",John Francis Wade,Easy Piano,"Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060799,5
I Have a Little Dreidel,S. E. Goldfarb,Piano/Vocal/Chords,"Piano, Voice: D4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0068890,3.5
Reach for the Stars,Musicnotes,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: Ab3-Db5",Ab Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0200228,
"Come, Thou Long-Expected Jesus",Rowland H. Prichard,Piano/Vocal/Chords,"Piano, Voice: F4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0069953,
Dance of the Sugar Plum Fairy,The Nutcracker,Piano Solo,Piano,E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0078910,5
"Lo, How a Rose E'er Blooming",Theodore Baker,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: C4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050888,
Maple Leaf Rag [excerpt],Scott Joplin,Piano Solo,Piano,Ab Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237796,
"Jesu, Joy of Man's Desiring",Johann Sebastian Bach,Piano Solo,Piano,G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0058141,5
All the Pretty Little Horses,American Traditional,Piano/Vocal/Chords,"Piano, Voice: B3-D5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0057883,4
Silent Night,Franz Gruber,Piano/Vocal,"Piano, Voice, 4-Part Choir",Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0082210,4.5
We Wish You a Merry Christmas,Traditional,Easy Piano,"Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060805,
Jingle Bells,James Pierpont,Easy Piano,"Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060803,5
"O Come, All Ye Faithful",John Francis Wade,Piano/Vocal/Chords,"Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059863,4
Ave Maria,Franz Schubert,Piano Solo,Piano,Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0085645,4.5
The Holy City,Michael Maybrick,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D4-F5",Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059266,4.5
Once in Royal David's City,Henry J. Gauntlett,Piano/Vocal/Guitar,"Guitar, Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0068089,4
Hello! Ma Baby,Joseph E. Howard,Piano/Vocal,"Piano, Voice: C4-E5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0049789,4
Joy to the World,George Frederick Handel,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050887,5
It Came Upon a Midnight Clear,Richard Storrs Willis,Piano/Vocal/Chords,"Piano, Voice: D4-D5",Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0055448,
Auld Lang Syne,Robert Burns,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: G3-A4",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050867,
Nessun dorma (None Shall Sleep),Turandot,"Piano/Vocal, Singer Pro","Piano, Voice: D3-B4",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0066176,5
"Nocturne in Eb Major, Opus 9, No. 2",Frederic Francois Chopin,Piano Solo,Piano,Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0073465,3
"Jesus, What a Wonderful Child",Traditional,Piano/Vocal/Chords,"Piano, Voice: C4-C5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0061053,5
Mary Had a Little Lamb,Traditional,Beginner Notes,"Piano, Voice: F4-C5, Treble Clef Instrument",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0127902,4
This Little Light of Mine [excerpt],Harry Dixon Loes,Piano/Vocal/Chords,"Piano, Voice: D4-B4",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237797,
You Can Play,Musicnotes,Piano Solo,Piano,Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0185818,
The First Noel,Traditional English Carol,Easy Piano,"Piano, Voice: D4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060804,4
Someone to Watch Over Me,George Gershwin,Piano/Vocal/Chords,"Piano, Voice: Eb4-F5",Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0247330,
London Bridge Is Falling Down,Traditional,Beginner Notes,"Piano, Voice: F4-D5, Treble Clef Instrument",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0127901,
Dance of the Sugar Plum Fairy,Peter Ilyich Tchaikovsky,"Big Note, Easy Piano",Piano,E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0078913,4.5
Clair de lune,Claude Debussy,Easy Piano,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0088984,4.5
Hark! The Herald Angels Sing,Felix Mendelssohn,Easy Piano,"Piano, Voice",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0078359,
Little Grey Home in the West,Hermann Lohr,Piano/Vocal/Chords,"Piano, Voice: B3-E5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0270583,
Shenandoah [excerpt],American Folk Song,Piano/Vocal,"Piano, Voice: A3-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237818,
Clair de lune,Claude Debussy,Piano Solo,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0058140,4.5
Ding Dong! Merrily On High,Traditional,Piano/Vocal/Chords,"Piano, Voice: E4-E5",A Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0067288,5
Old MacDonald Had a Farm [excerpt],Traditional,Piano/Vocal/Chords,"Piano, Voice: G4-E5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237806,
Panis Angelicus,César Franck,Piano/Vocal/Chords,"Piano, Voice: G4-F5",Ab Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0057884,3.5
Joy to the World,George Frederick Handel,Easy Piano,"Piano, Voice",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0078257,4
Good King Wenceslas,Traditional,Piano/Vocal/Chords,"Piano, Voice: C4-C5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060148,5
In the Garden,C. Austin Miles,Piano/Vocal/Chords,"Piano, Voice: B3-C5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0062745,4.5
Hallelujah Chorus,Messiah,Piano/Vocal/Chords,"Piano, Voice: G3-A5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0078668,4.5
Happy Birthday to You!,Mildred Hill,Piano/Vocal/Chords,"Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0155657,4
We Wish You a Merry Christmas,Traditional English Carol,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050902,
Goin' Home,Antonín Dvorák,Piano/Vocal/Chords,"Piano, Voice: Db4-F5",Db Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0071566,3.5
God So Loved the World [excerpt],John Stainer,Piano/Vocal/Chords,"Piano, Voice: C4-F5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237801,
"La Caroline, H. 98",Carl Philipp Emanuel Bach,Piano Solo,Piano,A Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0166407,4
Moonlight Sonata (Abridged),Ludwig Van Beethoven,Easy Piano,Piano,D Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0113731,4.5
It Is Well with My Soul,Philip P. Bliss,Piano/Vocal/Chords,"Piano, Voice, 4-Part Choir",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0095396,
The Birthday of a King,William Howard Neidlinger,Easy Piano,"Piano, Voice",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0099011,5
Ocho Kandelikas,Traditional,Piano/Vocal/Chords,"Piano, Voice: B3-D#5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0079417,4
Prelude and Fugue No. 1 in C Major,Johann Sebastian Bach,Piano Solo,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0071375,3.5
"Piano Sonata No. 11 in A Major, K. 331: III. Rondo Alla Turca",Wolfgang Amadeus Mozart,Piano Solo,Piano,A Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0063860,4.5
Up on the Housetop,Benjamin Russell Hanby,Piano/Vocal/Chords,"Piano, Voice: Eb4-C5",Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060711,4
Wexford Carol,Traditional English Carol,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: C4-Eb5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050903,4.5
Deck the Hall,Old Welsh Air,Piano/Vocal/Chords,"Piano, Voice: D4-Eb5",Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059799,4.5
Joy to the World,George Frederick Handel,Piano/Vocal/Chords,"Piano, Voice: D4-D5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059854,3.5
Canon in D,Johann Pachelbel,Easy Piano,Piano,D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0096998,4.5
Piano Sonata No. 8 in C Minor,Ludwig Van Beethoven,Piano Solo,Piano,Ab Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0066177,4.5
Danny Boy,Fred Weatherly,Piano/Vocal/Chords,"Piano, Voice: B3-F#5",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0152561,4.5
"Nocturne in C# Minor, Op. posthumous",Frederic Francois Chopin,Piano Solo,Piano,C# Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0067322,4
Gianni Schicchi:,Giacomo Puccini,"Piano/Vocal, Singer Pro","Piano, Voice: Eb4-Ab5 or Soprano Voice",Ab Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0066674,4.5
The Star Spangled Banner,Francis Scott Key,Piano/Vocal/Chords,"Piano, Voice: Bb3-F5",Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0056742,3
What Child Is This?,Traditional English Melody,Easy Piano,"Piano, Voice: B3-D5",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060565,5
"Infant Holy, Infant Lowly",Traditional Polish Carol,Piano/Vocal/Chords,"Piano, Voice: D4-D5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0069822,
Hallelujah Chorus,George Frederick Handel,Piano Solo,Piano,D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0063767,4.5
O Holy Night / Silent Night,Adolphe Charles Adam,Piano/Vocal/Chords,"Piano, Voice: C4-F5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0069400,4
Auld Lang Syne,Robert Burns,Piano/Vocal/Guitar,"Guitar, Piano, Voice: D4-G5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0048260,3.5
Coventry Carol,Traditional,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: D#4-B4",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050871,
Ma'oz Tzur,Traditional,Piano/Vocal/Chords,"Piano, Voice: C4-F5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0068881,
"Two Part Invention No. 11 in G Minor, BWV 782",Johann Sebastian Bach,Piano Solo,Piano,G Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0033885,4
Skip to My Lou [excerpt],Traditional,Piano/Vocal/Chords,"Piano, Voice: B4-G5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237805,
You Can Play,Musicnotes,Easy Piano,Piano,C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0188475,
Mariä Wiegenlied,Max Reger,Piano/Vocal/Chords,"Piano, Voice: F4-F5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0127459,
There Was a Little Baby,Traditional,Easy Piano,"Piano, Voice",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0127541,
A Beautiful Life,William M. Golden,Hymn,"Piano, Voice, 4-Part Choir",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0164538,4.5
"Capriccio, Morning Butterfly, Opus 76, No. 1",Johannes Brahms,Piano Solo,Piano,F Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0036630,4
O Holy Night,Adolphe Charles Adam,Easy Piano,"Piano, Voice: C4-E5",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060562,4
18th Variation from Rhapsody on a Theme of Paganini,Sergei Rachmaninoff,Piano Solo,Piano,Db Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0064206,4.5
"O Come, O Come, Emmanuel",15th Century French Melody,Easy Piano,"Piano: D2-G3, Voice",E Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0078314,5
Charleston,James P. Johnson,Piano/Vocal/Chords,"Piano, Voice: D4-Eb5",G Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0218186,
This Little Light of Mine,Harry Dixon Loes,Piano/Vocal/Chords,"Piano, Voice: D4-B4",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059265,
"O Chanukah, O Chanukah [excerpt]",Traditional Jewish,Piano Solo,Piano,C Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237803,
Euphonic Sounds,Scott Joplin,Piano Solo,Piano,Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0037819,4
Arabesque No. 1,Claude Debussy,Piano Solo,Piano,E Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0074018,5
Silent Night,Franz Gruber,Beginner Notes,"Piano, Voice, Treble Clef Instrument",C Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0127353,
The Holly and the Ivy,Traditional English Carol,Piano/Vocal/Chords,"Piano, Voice: C4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0060264,4
Santa Lucia,Neapolitan Folk Song,Piano/Vocal/Chords,"Piano, Voice: B3-C#5",A Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059445,5
In the Bleak Midwinter,Gustav Holst,Piano/Vocal/Chords,"Piano, Voice: D4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059858,
"Nocturne in Bb Minor, Op. 9, No. 1",Frederic Francois Chopin,Piano Solo,Piano,Bb Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0073464,5
Angels We Have Heard on High / Hark! the Herald Angels Sing,Felix Mendelssohn,Piano/Vocal/Chords,"Piano, Voice: D4-E5",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0069411,5
"Waltz in A Minor, Opus Posthumous",Frederic Francois Chopin,Piano Solo,Piano,A Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0088347,5
Messiah: Every Valley Shall Be Exalted (with Comfort Ye My People),George Frederick Handel,Piano/Vocal,"Piano, Voice: D#4-G#5",E Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0118890,
Happy Birthday to You!,Mildred Hill,Easy Piano,"Piano, Voice",G Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0155658,4
Tu Scendi Dalle Stelle,Alphonsus Maria de Liguori,Piano/Vocal,"Piano, Voice: D4-B4",D Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0122603,5
La Campanella,Franz Liszt,Piano Solo,Piano,G# Minor,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0116177,5
Caro Mio Ben [excerpt],Tommaso Giordani,"Piano/Vocal, Singer Pro","Piano, Voice: D4-Eb5",Eb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0237794,
The Friendly Beasts,Traditional,Piano/Vocal/Chords,"Piano, Voice: E4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0067588,4.5
It Came Upon a Midnight Clear,Richard Storrs Willis,Piano/Vocal/Chords,"Piano, Voice: D4-D5",Bb Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0059857,4.5
"Messiah, No. 20: He Shall Feed His Flock Like a Shepherd / Come Unto Him (Recitative & Air)",George Frederick Handel,"Piano/Vocal, Singer Pro","Piano, Voice: C4-G5 or Alto Voice",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0150127,
O Christmas Tree,German Traditional,"Piano/Vocal/Chords, Singer Pro","Piano, Voice: C4-D5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0050889,
Dreamy Melody,Ted Koehler,Piano/Vocal/Chords,"Piano, Voice: C4-F5",F Major,https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0204622,
